,name,id,level
335,mughlai restaurant,54135bf5e4b08f3d2429dff4,2
336,multicuisine indian restaurant,54135bf5e4b08f3d2429dfe0,2
337,north indian restaurant,54135bf5e4b08f3d2429dfdd,2
338,northeast indian restaurant,54135bf5e4b08f3d2429dff6,2
339,parsi restaurant,54135bf5e4b08f3d2429dfef,2
340,punjabi restaurant,54135bf5e4b08f3d2429dff0,2
341,rajasthani restaurant,54135bf5e4b08f3d2429dff1,2
342,south indian restaurant,54135bf5e4b08f3d2429dfde,2
343,udupi restaurant,54135bf5e4b08f3d2429dfec,2
344,irish pub,52e81612bcbc57f1066b7a06,1
345,italian restaurant,4bf58dd8d48988d110941735,1
346,abruzzo restaurant,55a5a1ebe4b013909087cbb6,2
347,agriturismo,55a5a1ebe4b013909087cb7c,2
348,aosta restaurant,55a5a1ebe4b013909087cba7,2
349,basilicata restaurant,55a5a1ebe4b013909087cba1,2
350,calabria restaurant,55a5a1ebe4b013909087cba4,2
351,campanian restaurant,55a5a1ebe4b013909087cb95,2
352,emilia restaurant,55a5a1ebe4b013909087cb89,2
353,friuli restaurant,55a5a1ebe4b013909087cb9b,2
354,ligurian restaurant,55a5a1ebe4b013909087cb98,2
355,lombard restaurant,55a5a1ebe4b013909087cbbf,2
356,malga,55a5a1ebe4b013909087cb79,2
357,marche restaurant,55a5a1ebe4b013909087cbb0,2
358,molise restaurant,55a5a1ebe4b013909087cbb3,2
359,piadineria,55a5a1ebe4b013909087cb74,2
360,piedmontese restaurant,55a5a1ebe4b013909087cbaa,2
361,puglia restaurant,55a5a1ebe4b013909087cb83,2
362,romagna restaurant,55a5a1ebe4b013909087cb8c,2
363,roman restaurant,55a5a1ebe4b013909087cb92,2
364,sardinian restaurant,55a5a1ebe4b013909087cb8f,2
365,sicilian restaurant,55a5a1ebe4b013909087cb86,2
366,south tyrolean restaurant,55a5a1ebe4b013909087cbb9,2
367,trattoriaosteria,55a5a1ebe4b013909087cb7f,2
368,trentino restaurant,55a5a1ebe4b013909087cbbc,2
369,tuscan restaurant,55a5a1ebe4b013909087cb9e,2
370,umbrian restaurant,55a5a1ebe4b013909087cbc2,2
371,veneto restaurant,55a5a1ebe4b013909087cbad,2
372,jewish restaurant,52e81612bcbc57f1066b79fd,1
373,kosher restaurant,52e81612bcbc57f1066b79fc,2
374,juice bar,4bf58dd8d48988d112941735,1
375,kebab restaurant,5283c7b4e4b094cb91ec88d7,1
