,Districts,Neighborhoods,lat,lng
215,鼓山區,平和里,22.651155000000003,120.27769049982388
216,鼓山區,正德里,22.648995149999998,120.27016017094604
217,鼓山區,河邊里,22.63957555,120.28284243581382
218,鼓山區,山下里,22.629443100000003,120.27968814090251
219,鼓山區,興宗里,22.63551185,120.2778864030343
220,鼓山區,寶樹里,22.6375248,120.28131452735609
221,鼓山區,樹德里,22.64126975,120.27984926482634
222,鼓山區,鼓岩里,22.640801949999997,120.27220574267537
223,鼓山區,忠正里,22.65508615,120.27710456171027
224,鼓山區,建國里,22.658227099999998,120.27728010849341
225,鼓山區,壽山里,22.6252809,120.26980425104895
226,鼓山區,民族里,22.6643866,120.28071673237285
227,鼓山區,前峰里,22.6643866,120.28389066596132
228,鼓山區,龍水里,22.6556816,120.28698258553655
229,鼓山區,龍井里,22.65910125,120.2662804637697
230,鼓山區,龍子里,22.6552971,120.3004603288677
231,鼓山區,綠川里,22.63603465,120.28383763404457
232,鼓山區,裕豐里,22.6671355,120.29274963831432
233,鼓山區,裕興里,22.6695085,120.2915767472792
234,鼓山區,新民里,22.62348505,120.27336879452449
235,鼓山區,維生里,22.617011849999997,120.27416146238366
236,鼓山區,雄峰里,22.6682422,120.284334914223
237,鼓山區,惠安里,22.62301925,120.27106330995474
238,鼓山區,明誠里,22.663156,120.2979038083639
239,鼓山區,自強里,22.66513045,120.27241687577728
240,鼓山區,光榮里,22.6584633,120.28063215056861
241,鼓山區,光化里,22.632581100000003,120.27949030841694
242,鼓山區,民強里,22.652305050000002,120.28028218475845
243,鼓山區,哨船頭里,22.6199796,120.26861990200715
244,鼓山區,內惟里,22.661279800000003,120.27892859352261
245,鼓山區,桃源里,22.6457111,120.25969341707267
246,鼓山區,延平里,22.62101195,120.27207224313725
247,鼓山區,麗興里,22.6174498,120.28140369552693
248,鼓山區,峰南里,22.63032735,120.27344346603434
249,鼓山區,登山里,22.627659899999998,120.27589115674988
250,鼓山區,華豐里,22.668641049999998,120.29528286049461
251,鼓山區,厚生里,22.64627075,120.27928526482597
252,苓雅區,人和里,22.61845255,120.30137205531005
253,苓雅區,中正里,22.6267113,120.31691297240947
254,苓雅區,仁政里,22.6185081,120.30403001918037
255,苓雅區,日中里,22.61731155,120.30908253181114
256,苓雅區,田西里,22.6178611,120.29824949003759
257,苓雅區,光華里,22.616130650000002,120.31892921065517
258,苓雅區,同慶里,22.62621665,120.3213167353231
259,苓雅區,安祥里,22.6314747,120.31929155022671
260,苓雅區,尚義里,22.62935505,120.31583817581063
261,苓雅區,林中里,22.6212144,120.31902345845889
262,苓雅區,林安里,22.6261892,120.31282508537046
263,苓雅區,林西里,22.620368,120.3205790659124
264,苓雅區,林南里,22.6236584,120.31807116810589
265,苓雅區,林泉里,22.62266845,120.3184687307172
266,苓雅區,林圍里,22.6246345,120.31343088159895
267,苓雅區,林富里,22.62211215,120.31438301387288
268,苓雅區,林華里,22.617636750000003,120.32146892671744
269,苓雅區,林貴里,22.61722735,120.32354540236125
270,苓雅區,林榮里,22.6171511,120.32560192112922
271,苓雅區,林德里,22.6216345,120.32309336564023
272,苓雅區,林興里,22.618090000000002,120.31941011460077
273,苓雅區,城北里,22.6132565,120.29896948396323
274,苓雅區,城西里,22.6148343,120.30038500997355
275,苓雅區,城東里,22.615034700000002,120.30269036870604
276,苓雅區,美田里,22.62049295,120.30622578021351
277,苓雅區,英明里,22.61343495,120.32628408941002
278,苓雅區,苓中里,22.61510785,120.2933409572799
279,苓雅區,苓昇里,22.61669195,120.29419586883495
280,苓雅區,苓東里,22.61277295,120.29370467469425
281,苓雅區,苓洲里,22.61846925,120.29310530376705
282,苓雅區,苓雅里,22.61541625,120.29618909007354
283,苓雅區,凱旋里,22.628722500000002,120.32035699826616
284,苓雅區,博仁里,22.61998765,120.29223304840943
285,苓雅區,普天里,22.618987750000002,120.31562035603497
286,苓雅區,普照里,22.6186679,120.31193141753259
287,苓雅區,晴朗里,22.6211503,120.31141106310858
288,苓雅區,華堂里,22.6165132,120.30704359521322
289,苓雅區,意誠里,22.6123296,120.30240372716307
290,苓雅區,鼓中里,22.61630425,120.29885598328568
291,苓雅區,廣澤里,22.6158456,120.30505013499422
292,苓雅區,五福里,22.6339289,120.32833027950048
293,苓雅區,五權里,22.63196425,120.32293819959574
294,苓雅區,文昌里,22.633572,120.33903165259237
295,苓雅區,正大里,22.6297739,120.33293881670593
296,苓雅區,正仁里,22.630657,120.33912343249801
297,苓雅區,正心里,22.63339705,120.33237765576038
298,苓雅區,正文里,22.631876050000002,120.32773534561997
299,苓雅區,正言里,22.630384,120.32669741208778
300,苓雅區,正義里,22.62728615,120.33921565289577
301,苓雅區,正道里,22.633602250000003,120.3355779285875
302,苓雅區,民主里,22.63566405,120.3230729454043
303,苓雅區,永康里,22.6270695,120.33052614038647
304,苓雅區,林靖里,22.622759350000003,120.32586270841098
305,苓雅區,奏捷里,22.62672035,120.32482854679438
306,苓雅區,建軍里,22.632458800000002,120.34185137956422
307,苓雅區,朝陽里,22.618629149999997,120.32665555536728
308,苓雅區,福人里,22.62160485,120.33274418116798
309,苓雅區,福地里,22.6197041,120.33301895402828
310,苓雅區,福西里,22.625420849999998,120.33393520316355
311,苓雅區,福居里,22.6193758,120.33527318573914
312,苓雅區,福東里,22.6198022,120.33780518742
313,苓雅區,福南里,22.628542,120.32566924165454
314,苓雅區,福海里,22.62147275,120.33030483909943
315,苓雅區,福康里,22.6197041,120.33058820217283
316,苓雅區,福祥里,22.6236819,120.32881568341013
317,苓雅區,福隆里,22.61925035,120.32828897862271
318,苓雅區,福壽里,22.626323300000003,120.32798508913291
319,苓雅區,衛武里,22.6259851,120.34328509561514
320,鹽埕區,藍橋里,22.6327958,120.28424190775877
321,鹽埕區,慈愛里,22.63141105,120.28272216422737
322,鹽埕區,壽星里,22.630317599999998,120.28570244425453
323,鹽埕區,博愛里,22.62982645,120.28175333757684
324,鹽埕區,中山里,22.62780425,120.28226920932568
325,鹽埕區,教仁里,22.62588005,120.28011843091781
326,鹽埕區,新樂里,22.62475075,120.2834199617296
327,鹽埕區,中原里,22.627135850000002,120.28317268229551
328,鹽埕區,光明里,22.62461155,120.28692089329067
329,鹽埕區,育仁里,22.622812250000003,120.28804073499326
330,鹽埕區,河濱里,22.621525849999998,120.28404463528267
331,鹽埕區,沙地里,22.6182758,120.28827266305692
332,鹽埕區,南端里,22.62004845,120.28593184512462
